congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.352,0.457,-133.38467,0.75337,471,56,,0.537,0.347
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.39,0.401,-22.14463,0.9559,491,9,,-0.408,0.355
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.361,0.658,-76.08332,0.85142,473,26,,0.334,0.707
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.645,-0.455,-102.93999,0.80982,488,39,,0.785,-0.426
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.607,0.248,-90.82962,0.82825,482,33,,0.71,0.126
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.715,-0.049,-78.4236,0.85266,492,34,,0.667,0.117
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.365,0.596,-83.15298,0.84244,485,30,,0.407,0.914
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.283,0.022,-142.07116,0.74102,474,49,,0.355,0.169
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.252,-17.69857,0.9632,472,7,,-0.634,-0.65
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.161,-0.007,-35.98106,0.92523,463,17,,-0.369,0.48
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.67,-0.405,-91.68911,0.82677,482,37,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.595,-0.335,-162.09739,0.71931,492,80,,0.518,-0.335
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.451,-0.022,-14.70469,0.97038,489,8,,-0.425,-0.031
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.88,-0.474,-72.54218,0.86001,481,24,,0.919,-0.395
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.18,0.151,-30.67311,0.93944,491,12,,-0.331,0.466
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.604,-0.044,-76.2065,0.85651,492,35,,0.589,0.012
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.306,-0.157,-10.84101,0.97825,493,3,,-0.306,-0.157
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.401,0.495,-57.84299,0.88136,458,27,,0.476,0.624
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.584,-40.96325,0.92027,493,19,,0.344,0.696
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.455,0.233,-56.19908,0.89164,490,20,,0.41,0.413
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.547,0.359,-53.91052,0.89418,482,19,,0.538,0.657
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-0.13411,0.99554,30,0,,-0.464,0.334
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.13,-9.19795,0.98148,492,2,,-0.441,-0.039
116,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.108,-8.27267,0.98319,488,1,,-0.363,-0.138
116,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.448,0.212,-54.22402,0.89504,489,18,,0.442,0.461
116,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.139,-8.91828,0.9814,475,4,,-0.518,-0.078
116,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.19,0.47,-68.76198,0.86857,488,27,,-0.416,0.909
116,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.166,-20.91818,0.95787,486,7,,-0.405,0.093
116,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.261,-0.15,-12.50938,0.97379,471,4,,-0.463,-0.122
